грунт
здание
сооружение
основание
NF-сп
NF-соответствие
конструкция
NF-требование
помещение
строительный_объект
учёт
работа
пожар
NF-таблица
объект
пожарная_безопасность
устройство
NF-м
значение
гост
испытание
безопасность
монтаж
результат
NF-образ
система
обеспечение_выполнения
проект_производства
установка
эксплуатация
фундамент
нормативное_значение
зависимость
расстояние
расчёт
доступ
материал
поверхность
строительство
территория
пункт
NF-мм
изделие
проект
район
беспрепятственный_доступ
строительный_материал
проектирование
NF-применение
использование
обеспечение
освещение
NF-человек
степень
качество
класс
предел
кладка
основа
толщина
газопровод
стена
среда
уровень
оборудование
температура
защита
формула
сварка
квартира
технический_регламент
процесс
строительная_конструкция
высота
зона
вид
NF-подземный_вод
NF-воздух
запорная_арматура
трубопровод
исключение
соединение
газ
труба
ил
безопасное_здание
NF-общее_требование
сварное_соединение
число
NF-случай
основание_грунта
бетон
глубина
резервуар
площадь
раствор
арматура
примечание
песок
деформация
изменение
NF-место
производство
деталь
расчётная_деформация
угол
воздействие
расчётное_сопротивление
тип
возведение
период
NF-недостаточная_несущая_способность
категория
ответственность
технологическая_карта
чертёж
NF-определение
стадия
проектирование_сооружений
порода
негорючий_материал
дом
NF-строительная_продукция
NF-внутреннее_трение
осадка
метод
удельное_сцепление
жизненный_цикл
проектирование_зданий
давление
отопление
этаж
контроль
производственное_помещение
участок
NF-условие
бетонная_смесь
размер
проектная_документация
сторона
эксплуатация_сооружения
NF-мероприятие
общежитие
канал
шов
группа
жилое_здание
NF-см
нагрузка
расчёт_оснований
модуль_деформации
покрытие
карстовая_деформация
параметр
подземное_сооружение
пожарная_техника
опора
проём
величина
NF-наличие
NF-с
предельное_значение
энергетическая_эффективность
показатель
эксплуатация_зданий
NF-целями_сн
NF-требованиями_тр
подъездная_дорога
вентиляция
коэффициент
наружная_стена
панель
паспорт
норма
пол
площадка
NF-правило
NF-гидрогеологическое_условие
сварная_работа
устройство_проходов
устройство_проездов
нормативный_документ
обслуживание
светильник
NF-стык
перекрытие
NF-точность
система_здания
испарительная_установка
комната
устойчивость
NF-отсутствие
сечение
железобетонная_конструкция
входной_контроль
климат
дефект
NF-сн
NF-год
приёмка
NF-животное
кухня
слой
пожарная_опасность
лист
приложение
баллон
расчётное_значение
прочностная_характеристика
пучение
NF-организационное_мероприятие
NF-течение
бетонирование
NF-казахстан
огнестойкость
ширина
NF-несущая_способность
расчётная_электрическая_нагрузка
NF-угроза
NF-состав
естественное_освещение
деформационная_характеристика
противопожарная_защита
длина
NF-размещение
углеводородный_газ
коэффициент_пористости
отверстие
NF-медленное_развитие
NF-материальная_ценность
сгорание
NF-элемент
несущая_конструкция
NF-требованиями_сн
укладка
деревянная_конструкция
прочность
назначение
изыскание
газонаполнительная_станция
коррозия
процесс_строительства
NF-данным
NF-спасение
пространство
предельное_отклонение
NF-спасательная_служба
сварочная_работа
NF-медицинская_служба
производственное_здание
линия
NF-вредное_экологическое_последствие
NF-нежелательное_экологическое_последствие
предотвращение_распространения
NF-спасения_людей
NF-техническая_служба
инфракрасное_излучение
показатель_текучести
NF-здоровья_людей
горелка
NF-вода
снип
отношение
насыпь
кирпич
окно
задание
сборка
болт
монтажная_работа
блок
запас_надёжности
пояс
колонна
NF-здоровье_животное
жидкая_среда
NF-выделение
плоскость
NF-соблюдение
примыкание
NF-содержание
NF-угроза_здоровью
NF-помощь
отопительный_прибор
крепление
форма
кровля
план
отклонение
коэффициент_значения
NF-республики_казахстан
разработка
глубина_заложения
NF-создание
действие
NF-июль
диаметр
NF-выполнение
плита
шкаф
марка
проверка
идентификация
ввод
техническое_регулирование
NF-применением_способов
внутренний_газопровод
противопожарная_преграда
строительное_изделие
присоединение
NF-часть
орган
котлован
эвакуация
рынок
дымовой_канал
оценка
NF-подтверждение_соответствие
система_отопления
подземный_резервуар
NF-влага
газоиспользующее_оборудование
повреждение
NF-хранение
подошва_фундамента
NF-справочное_пособие
разряд
отложение
загрязнение
документ
планировка
усиление
NF-развитие
стыковое_соединение
влажность
совместная_деформация
каркас
слой_пароизоляции
внутреннее_теплоснабжение
заполнение
внутренняя_поверхность
аппарат
облицовочный_материал
промерзание_грунта
NF-область
интерполяция
строительномонтажная_работа
NF-опасный_фактор
NF-требования_тр
NF-наличие_пустот
ограниченный_материал
мпа
инфракрасный_излучатель
NF-соответствующее_требование
трансформаторная_подстанция
предотвращение
интенсивность
NF-рынке_республики
количество
акт
проектирование_фундаментов
сжимаемость
NF-время_возникновение
рабочий_шов
перегородка
инструкция
прибор
вес
повышенная_комфортность
подъём
вертикальное_напряжение
неблагоприятное_воздействие
противоморозная_добавка
направление
NF-образование
NF-требованиям_тр
энергетический_паспорт
сила
путь_эвакуации
ликвидация
государственный_орган
сертификат
документация
гост_требования
счётчик
организация
рабочий_места
предел_огнестойкости
вспомогательная_зона
информация
характеристика
основание_сооружения
остаточное_напряжение
скважина
проектирование_оснований
опалубка
среднемесячная_температура
NF-наружного_воздуха
срок
трубопровод_систем
NF-цель_минимизация
проектное_положение
стальная_конструкция
утеплитель
вид_воздействий
строительный_процесс
NF-обращение
NF-безопасное_санитарногигиеническое_условие
количество_энергии
система_вентиляции
предприятие
управление
нанесение
строительная_площадка
станция
NF-порядок
фильтрационная_характеристика
ось
подвал
объём
исполнитель_работ
технологическая_операция
NF-снижения_возможности
слабоагрессивная_среда
проектная_организация
прокладка
вредное_вещество
воздуховод
изготовление
технологический_процесс
отвод_продуктов
деформация_грунтов
NF-снижение
текучесть
пролёт
производственная_зона
NF-требование_сп
климатический_район
закрепление
вертикаль
обратная_засыпка
внешняя_нагрузка
частичная_замена
NF-достижение
приёмочный_контроль
NF-технологическое_решение
сеть
положение
тепловая_изоляция
утечка
масса
ферма
NF-зимнее_условие
сопротивление
горючий_материал
земная_поверхность
коттедж
заглубление
заложение
пористость
портландцемент
NF-конструктивный_элемент
функциональное_назначение
вход
система_кондиционирования
концентрация
трещина
вертикальность_плоскости
механическая_прочность
инженерное_оборудование
климатический_подрайон
стенка
соединительная_деталь
климатическое_исполнение
согласование
взрывоопасная_зона
ветер
фасад
резервный_электродвигатель
лифт
NF-проектное_решение
минимальный_расход
классификация
NF-узлах_сочленения
NF-неадекватное_удаление
соединительная_труба
транспортирование
граница
вентилятор
переход
внешний_осмотр
NF-выбор
строительная_норма
отчёт
амплитуда
NF-влияние
связь
город
каменная_конструкция
оповещение
микроклимат
уплотнение
NF-требования_сн
резервный_вентилятор
устройство_оснований
анизотропия
расчётная_глубина
контур
сварочный_аппарат
рабочая_документация
агрессивное_воздействие
металлическая_конструкция
индивидуальный_жилой_дом
NF-конструктивное_мероприятие
устройство_фундаментов
энергия
NF-постоянное_пребывание
свод
дым
колебание_температуры
металл
стальная_труба
раздел
пожарный_отсек
лоджия
NF-необходимость
момент
газораспределительная_система
электрическая_нагрузка
механизм
просадочность_грунта
засоление_грунтов
NF-социальное_последствие
NF-экономическое_последствие
NF-последствие
результат_учёта
эвакуация_людей
боковое_освещение
рабочая_зона
обоснование
лестничная_клетка
комплекс
газонаполнительный_пункт
атмосферный_осадок
механическое_испытание
жилой_дом
NF-сжимаемая_толща
водоносный_слой
гайка
укрупнительная_сборка
NF-продукция
жилая_ячейка
водоснабжение
конструкция_сооружений
NF-рисунок
наружная_поверхность
балкон
NF-время
удельная_расчётная_нагрузка
разрез
заложение_фундаментов
раздел_требования
ступень_шкалы
лестница
герметичность
учреждение
дымоход
площадь_помещений
агрессивная_среда
NF-указание
высокая_степень
обеспечение_учёта
грань
NF-нестабилизированное_состояние
полевой_метод
конструкция_элементов
ресурс
перекрытие_здания
зрительная_работа
солнцезащитное_устройство
NF-шум
неотапливаемое_помещение
полиэтиленовая_труба
поставщик
жилая_комната
площадка_строительства
соотношение
NF-счёт
увлажнение
опирание
камень
жёсткий_контроль
NF-противопожарное_требование
комфорт
накопление
оклеечная_изоляция
проход
капитальный_ремонт
потребитель
приточная_установка
автоматическое_пожаротушение
технологическое_оборудование
выход
кран
склад
внешний_вид
заделка
аналитический_метод
физикомеханическое_свойство
NF-сведение
характеристика_грунтов
суффозионная_осадка
воздухообмен
сейсмический_район
элювиальный_песок
монтаж_конструкций
ведение_работ
NF-строительная_деятельность
полимерный_рулонный_материал
мастичная_изоляция
возгорание
производитель
надземный_резервуар
вместимость
электрический_инфракрасный_излучатель
функциональная_пожарная_опасность
NF-горючая_пыль
измерение
пожаротушение
отрицательная_температура
инвалид
распределение
NF-существенная_изменчивость
естественное_проветривание
NF-монтажный_элемент
лакокрасочное_покрытие
глухая_диафрагма
расчётная_точка
NF-пересечение
NF-угроза_безопасная
NF-гигиеническое_условие
NF-требование_правило
кондиционирование
подземный_газопровод
резервуарная_установка
гидравлическое_испытание
источник
NF-г
NF-суток
норматив
нормативная_глубина
слой_грунта
щебень
армирование
стойка
гофрированный_лист
NF-материальный_ущерб
оборудование_зданий
автоматическая_пожарная_сигнализация
освещённость_помещений
NF-лк
зазор
узел
уклон
производительность
защитное_покрытие
точка
ограждение
технология
канализация
NF-кв
NF-проведение
основание_фундамента
отдельный_фундамент
заполнитель
эвакуационный_выход
NF-целое
значительная_тиксотропия
значительная_неоднородность
проектное_значение
опасное_повреждение
знак_обращения
среднеагрессивная_среда
NF-возможность
печь
NF-техническое_условие
реконструкция
отделение
NF-установленный_порядок
NF-ст
обеспечение_условий
питание
внутреннее_электрооборудование
вероятность
нарушение
NF-инженерногеологическое_условие
NF-необходимый_случай
усилие
подошва
NF-целях_снижения
авария
вытяжная_установка
проектное_закрепление
NF-раз
мусоросборная_камера
теплоснабжение
полиэтиленовый_газопровод
партия
схема
очистка
цех
NF-появление
мощность
NF-напряжённое_состояние
расчётная_схема
NF-количественный_прогноз
предельное_сопротивление
NF-объемнопланировочное_решение
перечень
монтажное_соединение
секция
возведение_стен
параметр_проекта
токсичное_вещество
температура_воздуха
кондиционирование_воздуха
категория_помещения
теплотехнический_расчёт
допуск
водонапорная_башня
стойкость
NF-бытовая_нужда
отопительная_панель
физическая_характеристика
размер_фундаментов
днище
боковая_поверхность
закладная_изделия
NF-снижение_влияние
освещённость_путей
ремонт
навес
природный_газ
маркировка
NF-получение
теплоизоляционная_конструкция
автостоянка
пожарная_оценка
оценка_соответствия
NF-ф5.1
NF-выделения_аэрозолей
NF-негорючая_пыль
полимерный_материал
NF-место_пересечение
сварное_стыковое_соединение
напряжение
протокол
узел_трубопроводов
жилое_помещение
NF-полное_электроотопление
полый_подвал
NF-большее_различие
расход_воздуха
договор
производственный_контроль
протокол_испытаний
NF-нормированный_минералогический_состав
NF-мера
NF-огнев_фактор
NF-несоответствии_продукции
NF-гражданин
действие_объекта
NF-неприемлемая_риска
NF-несчастный_случай
NF-требований_экономии
NF-требование_сохранение
оценка_пригодности
NF-семья
мебель
резервное_освещение
закон_республики
вентиляционная_система
отопительное_газоиспользующее_оборудование
сейсмичность
монтажная_организация
NF-м3
NF-обязательная_сертификация
коммуникация
этажное_здание
сварной_шов
сталь
деформация_основания
подземная_конструкция
срез
NF-приготовление
бетонная_работа
NF-риска
этап
приварка
вертикальное_положение
фасадная_система
прочность_элемента
NF-свариваемый_элемент
архитектура
градостроительство
коридор
отражение
поток
лучистое_отопление
расчётная_температура
совмещение
дорога
NF-пустота
NF-решение
знак
отдельный_участок
настил
NF-вод
NF-данные
приспособление
предварительный_расчёт
фундамент_сооружения
типовой_проект
строительная_работа
NF-напорный_вод
пьезометрический_уровень
промерзание
замачивание
просадка
почва
жидкое_стекло
сопряжение
газгольдер
законодательство
NF-существенное_требование
NF-распространение_огня
NF-опасная_твёрдая_частица
газообразная_примесь
рабочее_освещение
государственный_контроль
трудногорючий_материал
газорегуляторный_пункт
цемент
NF-поворот
конденсат
путь
дымоотвод
тепловая_сеть
подвальный_этаж
электроустановка
смесь
проезд
полоса
облицовка
неразрушающий_метод
машина
дверь
NF-мкм
NF-предельное_состояние
свойство_грунта
NF-климатическое_условие
водонасыщение
NF-защитное_мероприятие
фундамент_наружных
жёсткость
городское_поселение
балка
NF-возникновение
NF-тёмное_время
NF-начало
скрытая_работа
натяжение
NF-кромка
NF-фасонный_элемент
улица
кладовая
санитарный_узел
проектирование_защиты
агрессивная_жидкость
NF-требованиям_сн
земля
вентиляционный_канал
низкое_давление
балл
NF-теплота
NF-гигиенической
NF-подтверждение
NF-прошедшие_процедуры
расход_теплоты
пробное_давление
пластмассовая_труба
экран
полимерная_труба
слив
операционный_контроль
сварщик
NF-окружающий_воздух
NF-мина
зондирование
расчёт_фундамента
свет
избыточное_давление
неравномерность
NF-просадочная_толща
суффозионное_сжатие
отсек
мост
высота_здания
NF-соответствие_требование
обработка
рама
разметка
NF-способ
дюбель
оттяжка
внутренний_слой
эвакуационный_путь
фальшпол
гражданский_кодекс
гармонизированный_стандарт
одноквартирный_дом
комбинированное_освещение
NF-рациональное_объемнопланировочное_решение
проект_зданий
удельный_расход
